event_name,date,course
3M Open,26-Jul-20,TPC Twin Cities
3M Open,25-Jul-21,TPC Twin Cities
Arnold Palmer Invitational presented by Mastercard,8-Mar-20,Bay Hill Club & Lodge
Arnold Palmer Invitational presented by Mastercard,7-Mar-21,Bay Hill Club & Lodge
Arnold Palmer Invitational presented by Mastercard,6-Mar-22,Bay Hill Club & Lodge
AT&T Pebble Beach Pro-Am,9-Feb-20,Pebble Beach Golf Links
AT&T Pebble Beach Pro-Am,14-Feb-21,Pebble Beach Golf Links
AT&T Pebble Beach Pro-Am,6-Feb-22,Pebble Beach Golf Links
Barbasol Championship,18-Jul-21,Keene Trace Golf Club
Bermuda Championship,1-Nov-20,NA
Bermuda Championship,31-Oct-21,NA
Charles Schwab Challenge,14-Jun-20,Colonial Country Club
Charles Schwab Challenge,30-May-21,Colonial Country Club
Corales Puntacana Championship,27-Mar-22,NA
Corales Puntacana Championship,27-Sep-20,NA
Farmers Insurance Open,26-Jan-20,Torrey Pines (South)
Farmers Insurance Open,31-Jan-21,Torrey Pines (South)
Farmers Insurance Open,29-Jan-22,Torrey Pines (South)
Fortinet Championship,19-Sep-21,Silverado Resort & Spa (North)
Hewlett Packard Enterprise Houston Open,14-Nov-21,Memorial Park Golf Course
John Deere Classic,11-Jul-21,TPC Deere Run
Mayakoba Golf Classic presented by UNIFIN,6-Dec-20,NA
PGA Championship,9-Aug-20,Southern Hills Country Club
PGA Championship,23-May-21,Southern Hills Country Club
Puerto Rico Open,28-Feb-21,PGA National (Champion)
RBC Heritage,21-Jun-20,Harbour Town Golf Links
RBC Heritage,18-Apr-21,Harbour Town Golf Links
RBC Heritage,17-Apr-22,Harbour Town Golf Links
Rocket Mortgage Classic,5-Jul-20,Detroit Golf Club
Rocket Mortgage Classic,4-Jul-21,Detroit Golf Club
Safeway Open,13-Sep-20,Silverado Resort & Spa (North)
Sanderson Farms Championship,4-Oct-20,Country Club of Jackson
Sanderson Farms Championship,3-Oct-21,Country Club of Jackson
Sentry Tournament of Champions,10-Jan-21,Plantation Course at Kapalua
Sentry Tournament of Champions,9-Jan-22,Plantation Course at Kapalua
Shriners Children's Open,10-Oct-21,TPC Summerlin
Shriners Hospitals for Children Open,11-Oct-20,TPC Summerlin
Sony Open in Hawaii,17-Jan-21,Waialae Country Club
Sony Open in Hawaii,16-Jan-22,Waialae Country Club
The American Express,19-Jan-20,NA
The American Express,24-Jan-21,NA
The American Express,23-Jan-22,NA
The Genesis Invitational,16-Feb-20,The Riviera Country Club
The Genesis Invitational,21-Feb-21,The Riviera Country Club
The Genesis Invitational,20-Feb-22,The Riviera Country Club
The Honda Classic,1-Mar-20,Innisbrook Resort (Copperhead)
The Honda Classic,21-Mar-21,Innisbrook Resort (Copperhead)
The Honda Classic,27-Feb-22,PGA National (Champion)
The Masters,15-Nov-20,Augusta National Golf Club
The Masters,10-Apr-22,Augusta National Golf Club
The Masters #2,11-Apr-21,Augusta National Golf Club
the Memorial Tournament presented by Nationwide,19-Jul-20,Muirfield Village Golf Club
the Memorial Tournament presented by Nationwide,6-Jun-21,Muirfield Village Golf Club
THE NORTHERN TRUST,23-Aug-20,Liberty National Golf Club
THE NORTHERN TRUST,22-Aug-21,Liberty National Golf Club
THE PLAYERS Championship,14-Mar-21,TPC Sawgrass
THE PLAYERS Championship,13-Mar-22,TPC Sawgrass
The RSM Classic,22-Nov-20,Sea Island GC (Seaside)
The RSM Classic,21-Nov-21,Sea Island GC (Seaside)
TOUR Championship,7-Sep-20,East Lake Golf Club
TOUR Championship,5-Sep-21,East Lake Golf Club
Travelers Championship,28-Jun-20,TPC River Highlands
Travelers Championship,27-Jun-21,TPC River Highlands
U.S. Open,20-Sep-20,Winged Foot GC
U.S. Open #2,20-Jun-21,Torrey Pines South (U.S. Open)
Valero Texas Open,4-Apr-21,TPC San Antonio (Oaks Course)
Valero Texas Open,3-Apr-22,TPC San Antonio (Oaks Course)
Valspar Championship,2-May-21,Innisbrook Resort (Copperhead)
Valspar Championship,20-Mar-22,Innisbrook Resort (Copperhead)
Waste Management Phoenix Open,2-Feb-20,Pebble Beach Golf Links
Waste Management Phoenix Open,7-Feb-21,Pebble Beach Golf Links
Wells Fargo Championship,9-May-21,TPC Potomac at Avenel Farm
Waste Management Phoenix Open,13-Feb-22,TPC Scottsdale
Workday Charity Open,12-Jul-20,Muirfield Village Golf Club
World Golf Championships-FedEx St. Jude Invitational,2-Aug-20,TPC Southwind
World Golf Championships-FedEx St. Jude Invitational,8-Aug-21,TPC Southwind
World Golf Championships-Mexico Championship,23-Feb-20,The Concession Golf Club
Wyndham Championship,16-Aug-20,Sedgefield Country Club
Wyndham Championship,15-Aug-21,Sedgefield Country Club
ZOZO CHAMPIONSHIP @ SHERWOOD,25-Oct-20,NA
